"Name","HexRangeStart","HexRangeEnd","DecimalRangeStart","DecimalRangeEnd"
"Chorasmian","10FB0","10FDF","69552","69599"
"Elymaic","10FE0","10FFF","69600","69631"
"Brahmi","11000","1107F","69632","69759"
"Kaithi","11080","110CF","69760","69839"
"Sora Sompeng","110D0","110FF","69840","69887"
"Chakma","11100","1114F","69888","69967"
"Mahajani","11150","1117F","69968","70015"
"Sharada","11180","111DF","70016","70111"
"Sinhala Archaic Numbers","111E0","111FF","70112","70143"
"Khojki","11200","1124F","70144","70223"
"Multani","11280","112AF","70272","70319"
"Khudawadi","112B0","112FF","70320","70399"
"Grantha","11300","1137F","70400","70527"
"Newa","11400","1147F","70656","70783"
"Tirhuta","11480","114DF","70784","70879"
"Siddham","11580","115FF","71040","71167"
"Modi","11600","1165F","71168","71263"
"Mongolian Supplement","11660","1167F","71264","71295"
"Takri","11680","116CF","71296","71375"
"Ahom","11700","1173F","71424","71487"
"Dogra","11800","1184F","71680","71759"
"Warang Citi","118A0","118FF","71840","71935"
"Dives Akuru","11900","1195F","71936","72031"
"Nandinagari","119A0","119FF","72096","72191"
"Zanabazar Square","11A00","11A4F","72192","72271"
"Soyombo","11A50","11AAF","72272","72367"
"Pau Cin Hau","11AC0","11AFF","72384","72447"
"Bhaiksuki","11C00","11C6F","72704","72815"
"Marchen","11C70","11CBF","72816","72895"
"Masaram Gondi","11D00","11D5F","72960","73055"
"Gunjala Gondi","11D60","11DAF","73056","73135"
"Makasar","11EE0","11EFF","73440","73471"
"Lisu Supplement","11FB0","11FBF","73648","73663"
"Tamil Supplement","11FC0","11FFF","73664","73727"
"Cuneiform","12000","123FF","73728","74751"
"Cuneiform Numbers and Punctuation","12400","1247F","74752","74879"
"Early Dynastic Cuneiform","12480","1254F","74880","75087"
"Egyptian Hieroglyphs","13000","1342F","77824","78895"
"Egyptian Hieroglyph Format Controls","13430","1343F","78896","78911"
"Anatolian Hieroglyphs","14400","1467F","82944","83583"
"Bamum Supplement","16800","16A3F","92160","92735"
"Mro","16A40","16A6F","92736","92783"
"Bassa Vah","16AD0","16AFF","92880","92927"
"Pahawh Hmong","16B00","16B8F","92928","93071"
"Medefaidrin","16E40","16E9F","93760","93855"
"Miao","16F00","16F9F","93952","94111"
"Ideographic Symbols and Punctuation","16FE0","16FFF","94176","94207"
"Tangut","17000","187FF","94208","100351"
"Tangut Components","18800","18AFF","100352","101119"
"Khitan Small Script","18B00","18CFF","101120","101631"
"Tangut Supplement","18D00","18D8F","101632","101775"
"Kana Supplement","1B000","1B0FF","110592","110847"
"Kana Extended-A","1B100","1B12F","110848","110895"
"Small Kana Extension","1B130","1B16F","110896","110959"
"Nushu","1B170","1B2FF","110960","111359"
"Duployan","1BC00","1BC9F","113664","113823"
"Shorthand Format Controls","1BCA0","1BCAF","113824","113839"
"Byzantine Musical Symbols","1D000","1D0FF","118784","119039"
"Musical Symbols","1D100","1D1FF","119040","119295"
"Ancient Greek Musical Notation","1D200","1D24F","119296","119375"
"Mayan Numerals","1D2E0","1D2FF","119520","119551"
"Tai Xuan Jing Symbols","1D300","1D35F","119552","119647"
"Counting Rod Numerals","1D360","1D37F","119648","119679"
"Mathematical Alphanumeric Symbols","1D400","1D7FF","119808","120831"
"Sutton SignWriting","1D800","1DAAF","120832","121519"
"Glagolitic Supplement","1E000","1E02F","122880","122927"
"Nyiakeng Puachue Hmong","1E100","1E14F","123136","123215"
"Wancho","1E2C0","1E2FF","123584","123647"
"Mende Kikakui","1E800","1E8DF","124928","125151"
"Adlam","1E900","1E95F","125184","125279"
"Indic Siyaq Numbers","1EC70","1ECBF","126064","126143"
"Ottoman Siyaq Numbers","1ED00","1ED4F","126208","126287"
"Arabic Mathematical Alphabetic Symbols","1EE00","1EEFF","126464","126719"
"Mahjong Tiles","1F000","1F02F","126976","127023"
"Domino Tiles","1F030","1F09F","127024","127135"
"Playing Cards","1F0A0","1F0FF","127136","127231"
"Enclosed Alphanumeric Supplement","1F100","1F1FF","127232","127487"
"Enclosed Ideographic Supplement","1F200","1F2FF","127488","127743"
"Miscellaneous Symbols and Pictographs","1F300","1F5FF","127744","128511"
"Emoticons","1F600","1F64F","128512","128591"
"Ornamental Dingbats","1F650","1F67F","128592","128639"
"Transport and Map Symbols","1F680","1F6FF","128640","128767"
"Alchemical Symbols","1F700","1F77F","128768","128895"
"Geometric Shapes Extended","1F780","1F7FF","128896","129023"
"Supplemental Arrows-C","1F800","1F8FF","129024","129279"
"Supplemental Symbols and Pictographs","1F900","1F9FF","129280","129535"
"Chess Symbols","1FA00","1FA6F","129536","129647"
"Symbols and Pictographs Extended-A","1FA70","1FAFF","129648","129791"
"Symbols for Legacy Computing","1FB00","1FBFF","129792","130047"
"CJK Unified Ideographs Extension B","20000","2A6DF","131072","173791"
"CJK Unified Ideographs Extension C","2A700","2B73F","173824","177983"
"CJK Unified Ideographs Extension D","2B740","2B81F","177984","178207"
"CJK Unified Ideographs Extension E","2B820","2CEAF","178208","183983"
"CJK Unified Ideographs Extension F","2CEB0","2EBEF","183984","191471"
"CJK Compatibility Ideographs Supplement","2F800","2FA1F","194560","195103"
"CJK Unified Ideographs Extension G","30000","3134F","196608","201551"
"Tags","E0000","E007F","917504","917631"
"Variation Selectors Supplement","E0100","E01EF","917760","917999"
"Supplementary Private Use Area-A","F0000","FFFFF","983040","1048575"
"Supplementary Private Use Area-B","100000","10FFFF","1048576","1114111"
